,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
66,Jarv Dee,The Red Eye Jedi,Smoke 2 Much,3f2ybXbjYmoPofTLyOwhIc,0.843,0.725,6,-6.838,0,0.106,0.0,0.157,0.481,124.031,218192,4,35.0,Blue
67,Kendrick Lamar,DAMN.,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,0.8,0.585,10,-7.343,1,0.0924,0.0,0.153,0.779,126.058,213400,4,79.0,Blue
68,Kendrick Lamar,Section.80,Poe Mans Dreams (His Vice),2NxIp9jbmsnaIiAExWOEo0,0.736,0.892,1,-5.217,1,0.28,1.14e-06,0.111,0.597,88.124,261874,4,0.0,Blue
69,The Flaming Lips,Transmissions From the Satellite Heart,She Don't Use Jelly,1dJuteDIOkGfDSN7zPkzNv,0.33,0.556,7,-11.494,1,0.0796,4.39e-05,0.315,0.506,173.828,222279,4,60.0,Blue
70,The Libertines,The Libertines,Music When The Lights Go Out,59aBJF7Nh9dkYbXY7xHZFk,0.42,0.69,0,-6.081,1,0.0341,4.75e-06,0.161,0.533,111.149,182387,4,0.0,Blue
71,Like,Songs Made While High,Mushroom Clouds,7lEbuo9yS0tutxbuT4Uxrh,0.63,0.831,11,-7.685,1,0.372,0.0,0.916,0.554,126.191,151000,1,34.0,Blue
72,Funkadelic,Maggot Brain,Maggot Brain,2t5GyUfFoZg3E8ak3i7dVP,0.301,0.353,4,-15.588,0,0.0467,0.489,0.406,0.189,134.588,621107,3,0.0,Blue
73,Abhi The Nomad,Marbled,Mama Bling,2B2LmWEr1LOQW8pfEFNXok,0.852,0.583,0,-4.596,1,0.117,0.0,0.104,0.335,90.019,222652,4,36.0,Blue
74,Abhi The Nomad,Marbled,Dogs,7G4qDFMg5cjWBsIHfWSG1e,0.883,0.649,0,-5.961,0,0.135,0.0,0.0392,0.872,118.025,228250,4,35.0,Blue
75,Abhi The Nomad,Marbled,Marbled,2g20BLinFvXA6l47j4igE5,0.671,0.449,0,-6.413,1,0.3,0.00125,0.0791,0.35,95.065,242526,4,38.0,Blue
76,Abhi The Nomad,Marbled,Sex n' Drugs,0G2wimhVoDYXbQ6csDxtSf,0.831,0.32,7,-7.916,1,0.143,0.0,0.0757,0.319,80.935,217778,4,64.0,Blue
